year,Total_population,Net_migration_rate,fertilityRate,period,d.migration,d.population,color
1950,71077882,-8.815,2.0895,1,⇧increasing,⇦decreasing,#5e5e5e50
1951,70850308,-6.039,2.0968,1,⇧increasing,⇦decreasing,#5e5e5e50
1952,70789775,-4.349,2.1137,1,⇧increasing,⇨increasing,#5e5e5e50
1953,70826971,-3.172,2.1344,2,⇧increasing,⇨increasing,#ffab0050
1954,70931914,-2.033,2.1587,2,⇧increasing,⇨increasing,#ffab0050
1955,71109548,-1.172,2.1634,2,⇧increasing,⇨increasing,#ffab0050
1956,71335708,-0.601,2.2077,2,⇧increasing,⇨increasing,#ffab0050
1957,71610830,0.007,2.2539,2,⇧increasing,⇨increasing,#ffab0050
1958,71932438,0.529,2.2786,2,⇧increasing,⇨increasing,#ffab0050
1959,72340502,0.96,2.3553,2,⇧increasing,⇨increasing,#ffab0050
1960,72817388,1.375,2.3849,2,⇧increasing,⇨increasing,#ffab0050
1961,73310002,1.65,2.4552,2,⇧increasing,⇨increasing,#ffab0050
1962,73898691,1.857,2.4708,2,⇧increasing,⇨increasing,#ffab0050
1963,74490142,2.036,2.515,2,⇧increasing,⇨increasing,#ffab0050
1964,75102293,2.157,2.5173,2,⇧increasing,⇨increasing,#ffab0050
1965,75744196,2.25,2.4922,2,⇧increasing,⇨increasing,#ffab0050
1966,76330742,2.307,2.4953,2,⇧increasing,⇨increasing,#ffab0050
1967,76906689,2.316,2.44,2,⇩decreasing,⇨increasing,#ffab0050
1968,77440418,2.308,2.3388,2,⇩decreasing,⇨increasing,#ffab0050
1969,77851834,2.247,2.1962,2,⇩decreasing,⇨increasing,#ffab0050
1970,78173137,2.155,2.0358,2,⇩decreasing,⇨increasing,#ffab0050
1971,78416029,2.003,1.9354,2,⇩decreasing,⇨increasing,#ffab0050
1972,78606767,1.8,1.7318,2,⇩decreasing,⇨increasing,#ffab0050
1973,78680345,1.546,1.5689,2,⇩decreasing,⇦decreasing,#ffab0050
1974,78654587,1.218,1.5166,3,⇩decreasing,⇦decreasing,#5e5e5e50
1975,78586480,0.814,1.4839,3,⇩decreasing,⇦decreasing,#5e5e5e50
1976,78440543,0.327,1.4897,3,⇩decreasing,⇦decreasing,#5e5e5e50
1977,78287889,-0.012,1.4957,3,⇩decreasing,⇦decreasing,#5e5e5e50
1978,78154655,-0.196,1.4927,3,⇩decreasing,⇦decreasing,#5e5e5e50
1979,77988443,-0.239,1.5005,3,⇧increasing,⇦decreasing,#5e5e5e50
1980,77843011,-0.121,1.5382,3,⇧increasing,⇦decreasing,#5e5e5e50
1981,77730395,0.138,1.5223,3,⇧increasing,⇦decreasing,#5e5e5e50
1982,77638584,0.543,1.4896,3,⇧increasing,⇦decreasing,#5e5e5e50
1983,77582276,1.099,1.4307,3,⇧increasing,⇦decreasing,#5e5e5e50
1984,77549853,1.842,1.3928,3,⇧increasing,⇨increasing,#5e5e5e50
1985,77587290,2.77,1.3848,4,⇧increasing,⇨increasing,#f4633350
1986,77690326,3.917,1.4149,4,⇧increasing,⇨increasing,#f4633350
1987,77916389,4.814,1.4407,4,⇧increasing,⇨increasing,#f4633350
1988,78265402,5.46,1.4583,4,⇧increasing,⇨increasing,#f4633350
1989,78689658,5.869,1.442,4,⇧increasing,⇨increasing,#f4633350
1990,79143218,6.066,1.4378,4,⇧increasing,⇨increasing,#f4633350
1991,79597174,6.071,1.3459,4,⇩decreasing,⇨increasing,#f4633350
1992,80006801,5.879,1.3062,4,⇩decreasing,⇨increasing,#f4633350
1993,80403259,5.491,1.2847,4,⇩decreasing,⇨increasing,#f4633350
1994,80743717,4.894,1.2467,4,⇩decreasing,⇨increasing,#f4633350
1995,81020535,4.079,1.2495,4,⇩decreasing,⇨increasing,#f4633350
1996,81225990,3.031,1.3151,4,⇩decreasing,⇨increasing,#f4633350
1997,81375740,2.195,1.3631,4,⇩decreasing,⇨increasing,#f4633350
1998,81496434,1.539,1.3568,4,⇩decreasing,⇨increasing,#f4633350
1999,81552332,1.067,1.363,4,⇩decreasing,⇨increasing,#f4633350
2000,81561598,0.747,1.38,4,⇩decreasing,⇦decreasing,#f4633350
2001,81541756,0.595,1.3498,5,⇩decreasing,⇦decreasing,#5e5e5e50
2002,81487381,0.565,1.3415,5,⇧increasing,⇦decreasing,#5e5e5e50
2003,81399472,0.669,1.341,5,⇧increasing,⇦decreasing,#5e5e5e50
2004,81294147,0.9,1.356,5,⇧increasing,⇦decreasing,#5e5e5e50
2005,81239199,1.265,1.3408,5,⇧increasing,⇦decreasing,#5e5e5e50
2006,81185137,1.789,1.3346,5,⇧increasing,⇦decreasing,#5e5e5e50
2007,81170496,2.229,1.3692,5,⇧increasing,⇨increasing,#5e5e5e50
2008,81197165,2.61,1.3796,6,⇧increasing,⇨increasing,#cc184f50
2009,81237799,2.97,1.3578,6,⇧increasing,⇨increasing,#cc184f50
2010,81283431,3.289,1.3921,6,⇧increasing,⇨increasing,#cc184f50
2011,81366749,3.606,1.3878,6,⇧increasing,⇨increasing,#cc184f50
2012,81480007,3.896,1.4095,6,⇧increasing,⇨increasing,#cc184f50
2013,81611124,4.203,1.42,6,⇧increasing,⇨increasing,#cc184f50
2014,81750059,4.518,1.4727,6,⇧increasing,⇨increasing,#cc184f50
2015,81967591,4.86,1.5059,6,⇧increasing,⇨increasing,#cc184f50
2016,82178861,5.26,1.5897,6,⇩decreasing,⇨increasing,#cc184f50
2017,82483984,5.228,1.5766,6,⇩decreasing,⇨increasing,#cc184f50
2018,82764764,4.747,1.5599,6,⇩decreasing,⇨increasing,#cc184f50
2019,83028627,4.346,1.5403,6,⇩decreasing,⇨increasing,#cc184f50
2020,83267655,4.017,1.519,6,⇩decreasing,⇨increasing,#cc184f50
2021,83390320,3.757,1.53,6,⇩decreasing,⇨increasing,#cc184f50
2022,83426789,1.856,1.533,6,⇩decreasing,⇦decreasing,#cc184f50