,Marital_status,Application_mode,Application_order,Course,Attendance,Previous_qualification,Previous_qualification.1,Nacionality,Mother_qualification,Father_qualification,Mother_occupation,Father_occupation,Admission_grade,Target,Educational_special_needs,Debtor,Tuition_fees,Gender,Scholarship_holder,Age_at_enrollment,International,Inflation_rate,GDP,Target_status
0,1,43,1,9003,1,1,120.0,1,1,1,4,10,134.4,0,0,0,1,1,0,24,0,2.8,-4.06,Dropout
1,1,17,1,9070,1,1,136.0,1,1,37,4,5,130.8,0,0,0,1,0,0,20,0,1.4,1.74,Enrolled
2,1,17,6,9773,1,1,131.0,1,34,34,0,0,129.3,0,0,0,1,1,0,18,0,2.6,0.32,Dropout
3,1,17,2,9773,1,1,126.0,1,37,38,5,5,129.5,1,0,1,0,0,0,18,0,1.4,1.74,Dropout
4,2,7,1,8014,0,3,120.0,1,38,1,9,9,120.0,0,0,0,0,0,0,35,0,1.4,1.74,Dropout
5,1,1,1,9773,1,1,150.0,1,19,11,0,0,131.1,1,0,0,1,1,0,19,0,2.6,0.32,Graduate
6,1,1,3,9500,1,1,134.0,1,1,37,8,7,120.5,1,0,0,1,1,1,18,0,2.8,-4.06,Graduate
7,1,1,2,9773,1,1,130.0,1,1,1,9,4,126.2,1,0,0,1,0,0,18,0,3.7,-1.7,Graduate
8,1,1,1,9147,1,1,128.0,1,38,37,5,6,122.1,0,0,0,1,0,1,18,0,-0.3,0.79,Enrolled
9,2,39,1,8014,0,1,133.1,1,34,34,90,90,116.0,0,0,0,0,0,0,51,0,1.4,1.74,Dropout
10,1,43,1,9853,1,1,115.0,1,3,37,2,5,108.7,1,0,0,1,0,0,21,0,-0.8,-3.12,Dropout
11,1,17,1,8014,0,1,125.0,1,37,37,5,6,122.2,1,0,1,1,0,0,19,0,1.4,1.74,Graduate
12,1,1,4,171,1,1,139.0,1,37,38,9,9,127.8,1,0,0,1,0,0,19,0,1.4,1.74,Dropout
13,1,39,1,9003,1,1,123.0,1,37,37,9,9,110.0,0,0,1,0,0,0,48,0,0.6,2.02,Dropout
14,1,1,1,9147,1,1,127.0,1,19,19,5,5,129.8,1,0,0,1,0,0,22,0,2.6,0.32,Dropout
15,1,1,6,9500,1,1,103.0,1,1,3,2,2,100.6,1,1,0,1,0,0,22,0,0.6,2.02,Graduate
16,2,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,0,0,0,1,0,0,44,0,3.7,-1.7,Graduate
17,1,17,1,9254,1,1,126.0,1,37,37,5,1,126.0,0,0,0,0,1,0,29,0,-0.8,-3.12,Dropout
18,1,43,2,9147,1,1,130.0,1,34,37,9,9,118.5,1,0,0,1,1,0,23,0,2.6,0.32,Graduate
19,1,16,4,9254,1,1,126.0,1,38,37,9,7,118.7,1,0,0,1,0,1,21,0,1.4,3.51,Graduate
20,1,1,6,9500,1,1,149.0,1,1,1,4,9,133.0,1,0,0,1,0,1,18,0,3.7,-1.7,Graduate
21,1,17,3,9238,1,1,121.0,1,1,1,4,5,117.2,0,0,0,1,0,0,19,0,2.8,-4.06,Graduate
22,1,16,5,9085,1,1,134.0,1,19,37,8,8,123.9,1,0,0,1,1,0,18,0,-0.8,-3.12,Enrolled
23,2,39,1,9991,0,1,140.0,1,37,37,9,6,130.2,0,0,0,1,0,1,39,0,0.3,-0.92,Graduate
24,1,17,1,9130,1,1,138.0,1,2,19,2,6,126.3,1,0,0,1,0,1,18,0,1.4,3.51,Enrolled
25,1,1,2,9500,1,1,131.0,1,38,1,7,4,128.3,1,0,0,1,0,1,18,0,3.7,-1.7,Graduate
26,1,51,1,171,1,1,128.0,1,2,1,3,3,131.2,1,0,0,1,1,0,21,0,1.4,3.51,Graduate
27,2,39,1,9500,1,19,133.1,1,38,38,7,8,170.0,0,0,0,1,1,0,36,0,0.3,-0.92,Dropout
28,1,17,1,9147,1,1,116.0,1,3,1,3,4,115.7,0,0,0,0,1,0,22,0,1.4,3.51,Enrolled
29,1,1,1,171,1,1,150.0,1,3,3,2,5,154.6,1,0,0,1,0,0,19,0,1.4,3.51,Dropout
30,1,1,3,171,1,1,125.0,1,38,37,4,9,115.2,1,0,0,1,0,0,18,0,2.6,0.32,Enrolled
31,1,39,1,9500,1,1,150.0,1,38,3,9,1,140.0,0,0,0,1,1,0,24,0,2.8,-4.06,Graduate
32,1,1,1,9130,1,1,132.0,1,19,38,9,9,130.4,1,0,0,1,1,0,18,0,1.4,3.51,Graduate
33,2,39,1,8014,0,1,140.0,1,37,37,9,9,101.0,0,0,0,1,0,0,35,0,2.8,-4.06,Graduate
34,4,43,1,9991,0,1,140.0,1,37,37,5,5,149.8,0,0,0,1,1,0,36,0,3.7,-1.7,Graduate
35,1,1,5,9500,1,1,130.0,1,19,1,9,5,122.1,1,0,0,1,0,1,19,0,0.5,1.79,Graduate
36,1,1,3,9773,1,1,123.0,1,1,1,4,7,125.1,1,0,1,1,1,1,18,0,0.6,2.02,Graduate
37,1,1,2,9773,1,1,108.0,1,38,38,7,7,115.0,1,0,1,0,0,0,20,0,1.4,3.51,Dropout
38,1,17,6,9670,1,1,117.0,1,38,19,0,1,114.6,0,0,0,0,1,0,19,0,1.4,1.74,Dropout
39,1,1,4,9147,1,1,146.0,1,3,1,3,10,138.7,0,0,0,1,1,0,18,0,1.4,3.51,Dropout
40,1,17,4,9773,1,1,127.0,1,1,19,4,1,115.8,1,0,0,1,0,0,18,0,-0.3,0.79,Graduate
41,1,1,4,9238,1,1,125.0,1,19,1,4,5,122.6,1,1,0,1,0,0,18,0,-0.3,0.79,Enrolled
42,1,1,3,9147,1,1,143.0,1,1,1,5,7,133.2,1,0,0,1,0,1,18,0,3.7,-1.7,Graduate
43,1,18,1,9130,1,1,146.0,1,3,3,5,2,137.8,0,0,0,1,1,0,18,0,-0.3,0.79,Dropout
44,1,1,2,9147,1,1,133.0,1,3,19,2,7,120.4,1,0,0,1,0,0,22,0,1.4,3.51,Graduate
45,1,17,1,9003,1,1,120.0,1,38,37,5,9,131.4,1,0,0,1,1,1,23,0,2.8,-4.06,Graduate
46,1,44,1,9003,1,39,140.0,1,1,1,4,3,140.0,1,0,0,1,0,0,20,0,0.5,1.79,Graduate
47,1,17,3,9070,1,1,130.0,1,1,4,4,2,131.4,0,0,0,1,1,0,20,0,0.6,2.02,Graduate
48,1,17,1,9500,1,1,141.0,1,38,38,7,10,139.8,1,0,0,1,0,0,18,0,-0.8,-3.12,Graduate
49,1,1,1,9773,1,1,130.0,1,1,38,3,5,128.6,1,0,0,1,1,0,19,0,-0.8,-3.12,Graduate
50,1,1,1,9070,1,1,110.0,1,1,37,9,9,105.1,1,0,0,1,0,1,20,0,0.5,1.79,Graduate
51,1,1,1,9670,1,1,146.0,1,1,1,9,8,149.5,1,0,0,1,1,1,17,0,0.6,2.02,Graduate
52,1,17,2,9147,1,1,142.0,1,19,19,4,8,127.3,0,0,0,1,0,1,18,0,0.6,2.02,Graduate
53,1,1,2,9147,1,1,133.0,1,19,1,5,10,121.8,0,0,0,1,1,0,20,0,2.8,-4.06,Enrolled
54,1,18,1,9500,1,1,140.0,1,37,38,5,7,126.0,1,0,0,1,0,0,18,0,3.7,-1.7,Graduate
55,1,1,1,9119,1,1,129.0,1,12,1,4,10,124.1,1,0,0,1,1,0,19,0,2.6,0.32,Dropout
56,1,1,3,9500,1,1,133.1,1,19,19,5,5,108.5,1,0,0,1,0,0,19,0,0.5,1.79,Graduate
57,1,17,2,9147,1,1,131.0,1,1,19,4,5,120.2,1,0,0,1,0,0,21,0,0.5,1.79,Graduate
58,1,17,4,9500,1,1,140.0,1,1,1,3,3,127.6,1,0,0,1,0,0,23,0,0.5,1.79,Graduate
59,1,1,1,9853,1,1,137.0,1,37,37,9,9,132.8,1,0,0,1,0,0,18,0,2.6,0.32,Graduate
60,1,17,2,8014,0,1,133.0,1,19,1,5,5,119.7,1,0,0,1,0,1,19,0,-0.8,-3.12,Dropout
61,1,39,1,9119,1,1,110.0,1,1,1,4,4,125.9,0,0,0,1,1,0,34,0,1.4,1.74,Enrolled
62,2,39,1,9238,1,1,120.0,1,37,37,9,9,116.0,0,0,0,1,0,0,44,0,3.7,-1.7,Graduate
63,1,1,1,9070,1,1,130.0,41,37,19,9,8,125.5,1,0,0,1,0,1,19,1,0.6,2.02,Graduate
64,1,7,1,9500,1,3,140.0,1,1,1,9,5,140.0,0,0,0,1,0,0,33,0,0.3,-0.92,Dropout
65,1,39,1,9147,1,1,120.0,1,1,19,4,7,110.0,0,0,0,1,1,0,27,0,2.8,-4.06,Dropout
66,2,1,1,9147,1,1,133.1,1,34,34,0,0,131.8,0,0,0,1,0,0,24,0,2.6,0.32,Dropout
67,1,1,1,9147,1,1,146.0,1,5,1,1,5,144.6,0,0,0,1,1,0,18,0,0.3,-0.92,Graduate
68,1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,-0.8,-3.12,Enrolled
69,2,39,1,9003,1,19,133.1,1,37,19,9,4,140.0,0,0,1,1,0,0,29,0,0.6,2.02,Graduate
70,1,17,1,8014,0,1,119.0,1,34,34,0,0,112.4,1,0,0,1,0,0,26,0,2.6,0.32,Dropout
71,2,43,1,9991,0,2,120.0,1,37,37,9,8,120.0,0,0,0,1,0,0,36,0,-0.8,-3.12,Enrolled
72,1,44,1,9991,0,39,160.0,1,37,37,9,9,160.0,0,0,0,1,0,0,26,0,3.7,-1.7,Graduate
73,1,18,2,9853,1,1,168.0,1,1,19,3,9,126.8,1,0,0,1,1,0,18,0,1.4,1.74,Enrolled
74,1,1,1,9130,1,1,127.0,1,1,1,4,4,120.4,1,0,0,1,0,0,18,0,-0.3,0.79,Graduate
75,1,17,1,171,1,1,132.0,1,1,37,4,9,127.1,0,0,0,0,1,0,21,0,2.6,0.32,Dropout
76,1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0.3,-0.92,Enrolled
77,1,1,4,9070,1,1,167.0,1,1,1,7,3,158.3,1,0,0,1,0,0,18,0,2.8,-4.06,Graduate
78,1,1,1,9238,1,1,148.0,1,37,37,9,9,143.5,0,0,0,1,0,0,18,0,1.4,1.74,Graduate
79,1,1,6,9500,1,1,141.0,1,2,1,4,4,136.3,1,0,0,1,0,0,19,0,1.4,1.74,Graduate
80,1,17,5,9119,1,1,123.0,1,3,1,2,9,116.0,1,0,1,0,1,0,20,0,1.4,3.51,Dropout
81,2,39,1,9991,0,1,130.0,1,38,38,9,3,145.6,0,0,0,1,1,0,34,0,-0.3,0.79,Enrolled
82,1,1,1,9773,1,1,133.0,1,1,3,3,3,135.8,1,0,0,1,0,0,19,0,0.6,2.02,Graduate
83,1,1,3,9500,1,1,139.0,1,19,1,9,5,135.0,1,0,0,1,0,1,18,0,3.7,-1.7,Graduate
84,4,39,1,8014,0,19,140.0,1,37,37,9,3,131.0,0,0,0,1,0,1,29,0,1.4,1.74,Graduate
85,1,1,1,9238,1,1,150.0,1,19,37,5,4,142.7,1,0,0,1,0,1,18,0,-0.8,-3.12,Graduate
86,1,1,1,9238,1,1,133.1,1,19,37,9,9,130.0,0,0,0,0,0,1,20,0,1.4,1.74,Graduate
87,1,17,3,9773,1,1,153.0,1,34,34,99,99,133.1,1,0,1,1,0,1,19,0,-0.8,-3.12,Dropout
88,1,1,2,9500,1,1,142.0,1,37,37,9,7,132.7,1,0,0,1,0,1,19,0,-0.3,0.79,Graduate
89,1,18,1,9773,1,1,124.0,1,38,37,9,8,126.8,0,0,0,1,1,1,21,0,-0.3,0.79,Graduate
90,1,1,5,9085,1,1,121.0,1,38,37,9,8,114.0,1,0,0,0,0,0,19,0,-0.8,-3.12,Dropout
91,2,39,1,9500,1,19,133.1,1,37,37,9,9,129.0,1,0,0,1,0,0,36,0,2.6,0.32,Graduate
92,2,39,1,9991,0,1,120.0,1,19,37,3,9,132.9,0,0,0,1,1,0,32,0,-0.3,0.79,Dropout
93,2,39,1,9853,1,1,110.0,1,37,37,9,9,95.5,0,0,1,0,0,0,32,0,1.4,1.74,Dropout
94,1,1,1,9238,1,1,152.0,1,1,38,4,5,144.7,0,0,0,1,0,0,20,0,0.3,-0.92,Graduate
95,1,39,1,9556,1,19,100.0,1,37,38,9,9,120.0,0,0,0,1,0,0,29,0,3.7,-1.7,Dropout
96,1,39,1,8014,0,1,133.1,1,3,19,4,7,119.0,0,0,0,1,1,0,39,0,1.4,3.51,Graduate
97,1,18,1,9500,1,1,126.0,1,38,37,5,5,114.8,1,0,0,1,0,0,20,0,1.4,1.74,Graduate
98,1,39,1,171,1,19,133.1,101,1,19,2,7,110.0,0,0,0,1,1,1,25,1,2.8,-4.06,Dropout
99,1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,2.6,0.32,Enrolled
100,1,17,1,9147,1,1,120.0,1,3,38,3,7,124.2,1,0,0,1,1,0,18,0,-0.3,0.79,Enrolled
101,1,7,1,9991,0,40,133.1,1,1,37,4,1,100.0,0,0,0,1,0,0,26,0,0.5,1.79,Graduate
102,1,17,1,9085,1,1,131.0,1,1,3,4,1,129.3,1,0,0,1,0,0,19,0,3.7,-1.7,Graduate
103,1,1,3,9500,1,1,137.0,1,19,38,7,7,126.5,1,0,0,1,0,1,19,0,-0.8,-3.12,Graduate
104,1,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,1,0,0,1,0,0,18,0,2.6,0.32,Dropout
105,1,17,2,9254,1,1,143.0,1,1,19,4,6,135.0,0,0,0,1,0,0,20,0,0.6,2.02,Dropout
106,1,17,6,9773,1,1,138.0,1,1,1,4,2,140.5,1,0,0,1,0,0,19,0,2.6,0.32,Graduate
107,1,1,1,9500,1,1,125.0,1,1,1,9,4,117.0,0,0,0,1,0,1,21,0,-0.8,-3.12,Graduate
108,1,43,1,9238,1,1,125.0,1,19,19,4,8,117.0,1,0,0,1,0,0,21,0,0.3,-0.92,Dropout
109,1,17,4,9500,1,1,137.0,1,1,37,9,9,128.4,1,0,0,1,0,1,19,0,-0.3,0.79,Graduate
110,1,1,1,9773,1,1,131.0,1,38,1,5,7,131.0,1,0,0,1,1,1,18,0,-0.3,0.79,Graduate
111,1,1,1,9254,1,1,144.0,1,19,19,9,9,142.6,1,0,0,1,0,1,18,0,2.8,-4.06,Graduate
112,1,1,3,9773,1,1,110.0,1,19,19,5,5,105.5,1,0,0,1,0,0,19,0,0.5,1.79,Graduate
113,1,17,1,9853,1,1,141.0,1,19,19,9,8,142.8,0,0,0,1,0,1,19,0,0.3,-0.92,Graduate
114,1,18,1,9147,1,1,119.0,1,37,37,7,7,112.0,1,0,0,0,1,0,20,0,-0.8,-3.12,Dropout
115,1,1,2,171,1,1,136.0,1,39,1,3,4,134.3,1,0,1,1,0,0,19,0,0.5,1.79,Dropout
116,1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,0.3,-0.92,Enrolled
117,1,1,1,9147,1,1,153.0,1,1,38,4,3,146.7,0,0,0,1,0,0,18,0,0.6,2.02,Graduate
118,1,43,1,9991,0,4,160.0,1,3,3,2,1,125.0,0,0,0,1,1,0,26,0,-0.3,0.79,Graduate
119,1,1,5,9070,1,1,134.0,1,34,1,5,7,129.8,1,0,0,1,0,0,18,0,-0.8,-3.12,Dropout
120,1,39,1,9500,1,1,130.0,1,19,19,9,8,105.8,0,0,0,1,0,0,26,0,-0.3,0.79,Dropout
121,1,1,1,9238,1,1,130.0,1,38,19,9,5,121.6,0,0,0,1,0,0,18,0,0.5,1.79,Graduate
122,1,1,1,9130,1,1,161.0,1,1,19,4,4,152.3,0,0,0,1,0,0,18,0,0.6,2.02,Graduate
123,1,1,1,9670,1,1,150.0,1,3,37,4,7,139.5,0,0,0,1,1,1,20,0,3.7,-1.7,Graduate
124,1,1,1,9773,1,1,140.0,1,3,2,4,6,133.4,1,0,0,0,1,0,29,0,0.6,2.02,Enrolled
125,1,1,1,9853,1,1,160.0,1,1,37,9,9,146.0,1,0,0,1,0,0,19,0,-0.8,-3.12,Enrolled
126,1,1,2,9500,1,1,133.0,1,19,1,9,1,122.2,0,0,0,1,0,0,20,0,-0.3,0.79,Graduate
127,1,39,1,9991,0,1,133.1,1,37,1,5,4,151.2,0,0,0,1,1,0,25,0,0.5,1.79,Dropout
128,1,44,1,9003,1,39,160.0,1,37,38,9,9,160.0,0,0,1,1,0,1,19,0,2.8,-4.06,Graduate
129,1,1,1,9500,1,1,143.0,1,38,38,9,9,138.8,1,0,0,1,0,0,31,0,0.6,2.02,Graduate
130,1,44,1,9003,1,39,130.0,1,1,1,3,10,130.0,0,0,0,1,1,0,22,0,2.8,-4.06,Dropout
131,2,39,1,9773,1,19,100.0,1,37,37,0,0,163.5,0,0,1,0,1,0,50,0,1.4,1.74,Dropout
132,1,42,1,9119,1,6,120.0,1,35,35,6,6,128.2,1,0,0,1,1,0,34,0,2.6,0.32,Dropout
133,1,18,5,9500,1,1,137.0,1,19,1,1,10,129.3,0,0,0,1,0,0,19,0,-0.8,-3.12,Dropout
134,2,39,1,8014,0,1,150.0,1,37,37,7,5,143.0,0,0,0,1,0,0,40,0,3.7,-1.7,Graduate
135,1,1,1,9853,1,1,133.0,1,1,38,5,10,131.3,1,0,0,1,0,0,20,0,2.8,-4.06,Enrolled
136,1,1,1,9238,1,1,140.0,1,19,38,9,9,132.0,0,0,0,1,1,0,19,0,0.3,-0.92,Dropout
137,1,1,2,9147,1,1,125.0,1,1,19,4,9,124.0,1,0,0,1,0,0,19,0,1.4,1.74,Enrolled
138,1,1,1,9238,1,1,115.0,1,38,38,8,7,112.9,1,0,0,1,0,1,19,0,0.5,1.79,Graduate
139,1,53,1,9003,1,42,130.0,1,1,19,9,7,133.8,0,0,1,1,0,1,24,0,1.4,3.51,Graduate
140,1,17,3,9147,1,1,122.0,1,3,38,123,171,116.1,1,0,1,1,1,0,19,0,1.4,3.51,Enrolled
141,1,17,4,9500,1,1,141.0,1,38,37,3,3,126.3,1,0,0,1,0,0,18,0,1.4,1.74,Graduate
142,1,44,1,9003,1,39,160.0,1,38,38,6,6,160.0,1,0,0,1,0,0,21,0,2.8,-4.06,Graduate
143,1,44,1,9238,1,39,140.0,1,1,1,4,3,138.6,0,0,0,1,1,0,22,0,-0.3,0.79,Dropout
144,1,53,1,9085,1,42,140.0,1,19,37,9,8,142.5,1,0,0,1,0,1,22,0,1.4,3.51,Graduate
145,1,1,1,9130,1,1,133.1,1,6,11,4,5,138.4,0,0,0,1,1,0,21,0,2.6,0.32,Graduate
146,1,1,3,9773,1,1,131.0,1,38,37,7,7,127.2,1,0,0,1,0,1,18,0,1.4,3.51,Dropout
147,1,51,1,9147,1,1,148.0,1,1,19,9,6,118.4,1,0,0,1,1,0,30,0,1.4,3.51,Dropout
148,1,1,1,9853,1,1,130.0,1,19,19,3,8,131.8,0,0,0,1,0,0,18,0,0.6,2.02,Graduate
149,1,39,1,9085,1,19,133.1,1,37,37,9,9,100.0,1,0,1,0,0,1,26,0,-0.3,0.79,Dropout
150,1,1,4,9773,1,1,143.0,1,1,3,4,7,129.7,1,0,0,1,0,0,20,0,1.4,3.51,Dropout
151,1,17,2,9670,1,1,110.0,1,1,1,4,10,115.3,1,0,0,1,1,0,19,0,2.8,-4.06,Graduate
152,1,17,2,9238,1,1,133.0,1,1,37,7,9,127.4,1,0,0,1,0,1,18,0,3.7,-1.7,Graduate
153,1,1,5,9147,1,1,133.0,1,19,3,9,9,123.2,1,0,0,1,1,0,18,0,-0.3,0.79,Dropout
154,1,17,1,9238,1,1,122.0,1,3,1,9,10,114.7,0,0,0,1,0,0,19,0,-0.3,0.79,Graduate
155,1,1,6,9853,1,1,136.0,1,1,19,5,5,122.0,0,0,0,1,0,0,18,0,2.6,0.32,Graduate
156,1,17,6,9147,1,1,130.0,1,37,37,9,9,110.4,1,0,0,1,1,0,25,0,2.6,0.32,Dropout
157,1,39,1,9991,0,1,133.1,1,37,37,7,9,111.0,0,0,0,0,1,0,28,0,1.4,3.51,Dropout
158,1,17,5,9500,1,1,136.0,1,19,38,5,8,130.3,1,0,0,1,0,1,18,0,2.6,0.32,Graduate
159,1,1,1,8014,0,1,120.0,1,1,37,7,3,122.8,0,0,0,1,0,0,23,0,-0.8,-3.12,Enrolled
160,1,18,3,9070,1,1,164.0,1,1,1,5,3,161.2,1,0,0,1,0,0,18,0,-0.3,0.79,Graduate
161,2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0.5,1.79,Dropout
162,1,39,1,9991,0,1,140.0,1,37,37,9,5,140.0,0,0,0,0,0,0,37,0,2.8,-4.06,Dropout
163,1,1,1,9773,1,1,125.0,1,3,19,2,3,125.7,1,0,0,1,0,0,19,0,1.4,3.51,Graduate
164,1,17,1,171,1,1,136.0,1,38,38,7,7,127.3,1,0,0,1,0,0,19,0,2.8,-4.06,Dropout
165,1,1,1,9130,1,1,110.0,1,3,19,2,9,105.5,1,0,1,0,0,0,19,0,0.6,2.02,Dropout
166,2,1,2,8014,0,1,110.0,1,37,1,9,10,108.7,1,0,0,1,0,0,43,0,-0.8,-3.12,Graduate
167,1,1,4,9500,1,1,145.0,1,3,19,1,5,130.0,1,0,0,1,0,0,18,0,-0.8,-3.12,Graduate
168,1,1,1,9853,1,1,115.0,1,19,38,9,9,108.0,0,0,0,1,0,1,19,0,0.5,1.79,Graduate
169,1,16,3,9853,1,1,134.0,1,37,19,9,5,121.4,1,0,0,1,0,1,23,0,2.6,0.32,Enrolled
170,1,39,1,9130,1,40,129.0,1,3,3,2,2,155.3,1,0,0,1,0,0,27,0,0.5,1.79,Dropout
171,1,1,1,9500,1,1,145.0,1,19,1,9,5,145.0,0,0,0,1,0,1,18,0,-0.3,0.79,Graduate
172,1,1,1,171,1,1,135.0,1,1,38,5,7,137.5,1,0,1,0,1,0,19,0,3.7,-1.7,Graduate
173,1,17,1,9853,1,1,128.0,1,38,38,9,7,128.4,1,0,0,1,0,1,20,0,-0.8,-3.12,Enrolled
174,1,39,1,9085,1,1,130.0,1,4,1,2,9,120.0,0,0,0,0,0,0,26,0,0.6,2.02,Enrolled
175,1,42,1,9147,1,1,135.0,1,19,1,4,4,120.0,0,0,0,0,1,0,25,0,2.8,-4.06,Dropout
176,1,53,1,9003,1,42,130.0,1,38,38,9,9,130.0,1,0,1,1,1,0,20,0,1.4,3.51,Enrolled
177,1,51,1,9670,1,1,126.0,1,3,3,1,10,111.0,0,0,1,1,1,0,21,0,0.6,2.02,Graduate
178,1,17,3,9085,1,1,120.0,1,37,38,9,9,111.3,0,0,0,1,0,0,20,0,0.6,2.02,Dropout
179,1,39,1,9085,1,40,130.0,1,3,2,3,2,160.0,1,0,0,1,0,0,27,0,-0.3,0.79,Graduate
180,1,51,1,9500,1,1,170.0,1,1,1,4,10,125.0,0,0,0,1,1,0,20,0,0.6,2.02,Graduate
181,1,18,2,9238,1,1,121.0,1,19,1,4,3,121.4,1,0,0,1,0,1,19,0,2.8,-4.06,Graduate
182,1,39,1,9085,1,1,133.1,1,1,19,9,9,162.3,1,0,0,1,0,0,24,0,1.4,3.51,Dropout
183,1,39,1,8014,0,1,133.1,1,37,11,9,7,96.0,0,0,1,0,1,0,50,0,0.5,1.79,Dropout
184,1,43,4,9147,1,1,124.0,1,37,37,9,9,117.4,0,0,0,1,0,0,19,0,2.6,0.32,Graduate
185,1,17,1,9853,1,1,150.0,1,19,19,3,4,135.0,0,0,0,1,0,0,29,0,3.7,-1.7,Graduate
186,2,39,1,9147,1,1,130.0,1,37,37,9,9,142.5,0,0,0,1,0,0,39,0,0.6,2.02,Enrolled
187,1,43,1,8014,0,1,130.0,1,38,3,132,122,100.0,0,0,0,1,1,0,54,0,3.7,-1.7,Enrolled
188,1,17,1,9003,1,1,131.0,1,19,1,9,2,134.5,1,0,0,1,0,1,19,0,0.5,1.79,Graduate
189,1,39,1,9991,0,1,130.0,1,37,37,6,6,111.9,0,0,1,1,0,0,36,0,3.7,-1.7,Dropout
190,1,15,1,9670,1,1,130.0,26,42,1,2,7,130.0,0,1,1,1,0,0,20,1,1.4,3.51,Graduate
191,1,1,1,9238,1,1,126.0,1,3,1,5,5,125.7,0,0,0,1,0,1,18,0,2.8,-4.06,Graduate
192,1,1,3,9254,1,1,123.0,1,1,1,4,3,123.4,1,0,0,1,1,0,18,0,0.6,2.02,Graduate
193,1,44,1,9130,1,39,130.0,1,38,37,4,9,130.0,1,0,0,1,0,1,20,0,0.3,-0.92,Enrolled
194,2,39,1,9254,1,1,120.0,1,1,19,9,9,148.3,0,0,0,1,1,0,47,0,1.4,1.74,Graduate
195,1,1,2,9238,1,1,147.0,1,19,38,9,8,135.8,1,0,0,1,0,1,19,0,-0.3,0.79,Dropout
196,1,1,1,9853,1,1,127.0,1,3,1,3,7,137.2,1,0,0,1,0,0,18,0,1.4,1.74,Enrolled
197,1,43,2,9238,1,1,129.0,1,34,30,0,5,118.9,1,0,0,1,1,0,22,0,-0.8,-3.12,Dropout
198,1,17,1,9147,1,1,123.0,1,1,19,3,4,122.0,0,0,0,1,1,0,19,0,1.4,3.51,Dropout
199,1,17,1,9238,1,1,138.0,1,37,38,9,8,134.2,1,0,0,1,0,1,18,0,0.6,2.02,Graduate
